prolongamento,Index_complex,tipo
17345,0.115908048320506,CB1_NEG
18414,0.0636155606407323,CB1_NEG
24262,0.0885457755738382,CB1_NEG
25049,0.0837631222795274,CB1_NEG
26835,0.0978922244259925,CB1_NEG
31064,0.144218849004105,CB1_NEG
51004,0.0975778056936606,CB1_NEG
42262,0.263522933221804,CB1_NEG
64301,0.206327067158744,CB1_NEG
33122,0.144134366925065,CB1_NEG
37966,0.273057996821567,CB1_NEG
55265,0.235012388743546,CB1_NEG
42542,0.210254696665924,CB1_NEG
46007,0.273053343445835,CB1_NEG
52908,0.337764259697345,CB1_NEG
42144,0.471402769416014,CB1_NEG
42017,0.407318070895575,CB1_NEG
25658,0.118312085495344,CB1_NEG
36066,0.093750785235068,CB1_NEG
33762,0.182221145694562,CB1_NEG
31667,0.323455893349285,CB1_NEG
27332,0.318913531024171,CB1_NEG
43479,0.665376267951421,CB1_NEG
59585,0.410288892627745,CB1_NEG
58992,0.52208431899932,CB1_NEG
47956,0.447708767606039,CB1_NEG
41172,0.459088759262179,CB1_NEG
73160,0.567538171436003,CB1_NEG
24467,0.743120518231545,CB1_NEG
60283,0.433249346595717,CB1_NEG
42908,0.272437473505723,CB1_NEG
32439,0.422711417995444,CB1_NEG
37883,0.291270672753124,CB1_POS
48864,0.149436891851903,CB1_POS
35665,0.179945276034122,CB1_POS
33215,0.206976411040015,CB1_POS
34292,0.148278774030103,CB1_POS
47005,0.111889961645285,CB1_POS
45005,0.382732135509532,CB1_POS
35417,0.550140354888288,CB1_POS
38909,0.153360750266553,CB1_POS
38880,0.191028068496286,CB1_POS
45660,0.32647913501394,CB1_POS
68279,0.320370278206341,CB1_POS
60198,0.389429269826458,CB1_POS
62693,0.194705270324081,CB1_POS
63831,0.234199539303196,CB1_POS
39691,0.30757824221067,CB1_POS
42560,0.169382696773942,CB1_POS
35252,0.318274995165345,CB1_POS
70279,0.240596466583824,CB1_POS
38367,0.184704307358847,CB1_POS
25396,0.102583130145942,CB1_POS
36960,0.379813742763655,CB1_POS
49426,0.11147464360832,CB1_POS
33910,0.108405858070623,CB1_POS
32860,0.413203807210843,CB1_POS
53601,0.156314927910344,CB1_POS
24069,0.102304938087424,CB1_POS
39811,0.0982785956964892,CB1_POS
33491,0.139623901762318,CB1_POS
33116,0.124563815163371,CB1_POS
39985,0.11931192458482,CB1_POS
25707,0.200578412165314,CB1_POS
64830,0.102388369678089,CB1_POS
64129,0.134491321834427,CB1_POS
47640,0.317703335577102,CB1_POS
38678,0.274864545642026,CB1_POS
32300,0.147779741959315,CB1_POS
51913,0.155006836382577,CB1_POS
40488,0.236637191500594,CB1_POS
84338,0.54767153116335,CB1_POS
53723,0.186668281531497,CB1_POS
59282,0.482790811296556,CB1_POS
67390,0.113009371380436,CB1_POS
92652,0.354489908244097,CB1_POS
57114,0.508886882497098,CB1_POS
57865,0.247891131705161,CB1_POS
68040,0.184192225606101,CB1_POS
63709,0.430310021371534,CB1_POS
50282,0.362194936323507,CB1_POS
62352,0.190937755459535,CB1_POS
39572,0.310544288800613,CB1_POS
64615,0.275389135603104,CB1_POS
46671,0.26023554026851,CB1_POS
10697,0.34722645999878,DAG
8748,0.595953997505889,DAG
16199,0.243461610311975,DAG
6909,0.391116594694633,DAG
8775,0.44150967413442,DAG
30891,0.193341167254211,DAG
29762,0.120975840274086,DAG
29117,0.202929099370381,DAG
27943,0.534864752392842,DAG
30138,0.0907500150847764,DAG
37046,0.113180447168095,DAG
16610,0.111574668378263,DAG
21165,0.0589987551129291,DAG
21796,0.136962977628192,DAG
18019,0.036159400909334,DAG
23875,0.121338142205211,DAG
22487,0.243600524740153,DAG
38612,0.162847169524966,DAG
22350,0.0652055711238446,DAG
26863,0.173166302440826,DAG
19790,0.0665094339622642,DAG
35811,0.0681983763530392,DAG
11657,0.113603528248802,DAG
13111,0.0927899252698589,DAG
14154,0.135950186191319,DAG
16243,0.0723586521987436,DAG
13645,0.0835516152864531,DAG
13532,0.0785154919986381,DAG
26143,0.146713231934199,DAG
19142,0.0710923472606396,DAG
15218,0.0494097070397901,DAG
16552,0.0780370968640338,DAG
13502,0.113285611085572,DAG
14205,0.104124621594349,DAG
14946,0.130136189035037,DAG
64412,0.154919968512201,DAG
42510,0.134127711579591,DAG
54171,0.491781593019983,DAG
47416,0.13360619792428,DAG
51081,0.248731487064845,DAG
66524,0.3163563119168,DAG
52329,0.233061218507716,DAG
40633,0.405115366596393,DAG
48412,0.202503912363067,DAG
33736,0.0390794120998064,DAG
30925,0.0453773730513968,DAG
29096,0.0593560067244278,DAG
16225,0.066294527248662,DAG
16967,0.136319674217358,DAG
27699,0.31859778597786,DAG
16882,0.062006889654406,DAG
37536,0.493023946838828,DAG
46149,0.473245063348933,DAG
34776,0.263875365141188,DAG
65909,0.49138010865539,DAG
58555,0.430664670192906,DAG
57428,0.288508951248219,DAG
58083,0.400198271321912,DAG
60763,0.605767858301434,DAG
41273,0.509792743036998,DAG
43060,0.356468197034912,DAG
39141,0.105225859546452,MAG
35992,0.0718687949663478,MAG
41700,0.133128222185265,MAG
26954,0.123817573058544,MAG
50563,0.116093280190196,MAG
48367,0.263113792525557,MAG
33982,0.142193613530228,MAG
17511,0.08796875,MAG
21946,0.0682291003269223,MAG
24890,0.0631234237964392,MAG
37931,0.0827953089106517,MAG
43542,0.116884697292364,MAG
39870,0.206582953573063,MAG
48302,0.292558255342209,MAG
26856,0.190132987545611,MAG
31110,0.173858777916456,MAG
42279,0.219036887895524,MAG
45885,0.313335228888257,MAG
37457,0.190258982230101,MAG
38486,0.53012563028801,MAG
41222,0.196060458313018,MAG
44942,0.108841783823442,MAG
30373,0.100991564303685,MAG
33641,0.123818205495507,MAG
33525,0.0756314106099041,MAG
31126,0.0835590625368037,MAG
21557,0.0668369334660838,MAG
22563,0.101970149253731,MAG
21912,0.0785146557887212,MAG
21399,0.174866970000771,MAG
